t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2],alpha,joystick[0],joystick[1],joystick[2],joystick[3],takeoff
0.11091065406799316,0.0,0.0,0.0,0.01,0.0,0.0,0.0011091065406799317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.1766061782836914,0.0,0.0,0.0,0.01,0.0,0.0,0.0017660617828369142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.2145695686340332,0.0,0.0,0.0,0.01,0.0,0.0,0.002145695686340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.2642703056335449,0.0,0.0,0.0,0.01,0.0,0.0,0.0026427030563354495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.3141779899597168,0.0,0.0,0.0,0.01,0.0,0.0,0.0031417798995971684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.36451196670532227,0.0,0.0,0.0,0.01,0.0,0.0,0.003645119667053223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.41443395614624023,0.0,0.0,0.0,0.01,0.0,0.0,0.004144339561462403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.46406006813049316,0.0,0.0,0.0,0.01,0.0,0.0,0.0046406006813049325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.5149440765380859,0.0,0.0,0.0,0.01,0.0,0.0,0.00514944076538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.5646548271179199,0.0,0.0,0.0,0.01,0.0,0.0,0.0056465482711792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.6140286922454834,0.0,0.0,0.0,0.01,0.0,0.0,0.006140286922454835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.6640021800994873,0.0,0.0,0.0,0.01,0.0,0.0,0.006640021800994874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.7148640155792236,0.0,0.0,0.0,0.01,0.0,0.0,0.007148640155792237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.7641768455505371,0.0,0.0,0.0,0.01,0.0,0.0,0.0076417684555053714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.8143548965454102,0.0,0.0,0.0,0.01,0.0,0.0,0.008143548965454103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.8646306991577148,0.0,0.0,0.0,0.01,0.0,0.0,0.00864630699157715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
0.9142985343933105,0.0,0.0,0.0,0.01,0.0,0.0,0.009142985343933107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,12.74871826171875,0
0.9645144939422607,0.0,0.0,0.0,0.01,0.0,0.0,0.009645144939422609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
1.0146527290344238,3.1999998181888474,0.0,0.0,0.17044234317923157,0.0,0.0,0.01819082321140206,0.0,0.0,0.0,0.0,-2.7572687085100924e-23,0.0,0.0,-1.3824458671954391e-24,1.0,0.0,0.0,0.0,7.999999545472118,0.0,0.0,0.0,0.0,-4.1359030627651384e-24,-0.0,8.819580078125,8.82720947265625,0.9765625,10.7879638671875,0
