t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2],alpha,joystick[0],joystick[1],joystick[2],joystick[3]
0.09470486640930176,0.0,0.0,0.0,0.01,0.0,0.0,0.0009470486640930176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.20827841758728027,0.0,0.0,0.0,0.01,0.0,0.0,0.0020827841758728027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.25932908058166504,0.0,0.0,0.0,0.01,0.0,0.0,0.0025932908058166502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.3089752197265625,0.0,0.0,0.0,0.01,0.0,0.0,0.0030897521972656247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.35901403427124023,0.0,0.0,0.0,0.01,0.0,0.0,0.003590140342712402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.40958213806152344,0.0,0.0,0.0,0.01,0.0,0.0,0.004095821380615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.45900917053222656,0.0,0.0,0.0,0.01,0.0,0.0,0.004590091705322265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.5089998245239258,0.0,0.0,0.0,0.01,0.0,0.0,0.005089998245239258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.5590329170227051,0.0,0.0,0.0,0.01,0.0,0.0,0.005590329170227051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.609245777130127,0.0,0.0,0.0,0.01,0.0,0.0,0.00609245777130127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.6590816974639893,0.0,0.0,0.0,0.01,0.0,0.0,0.006590816974639893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.709007740020752,0.0,0.0,0.0,0.01,0.0,0.0,0.00709007740020752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.7589709758758545,0.0,0.0,0.0,0.01,0.0,0.0,0.007589709758758546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.8091292381286621,0.0,0.0,0.0,0.01,0.0,0.0,0.008091292381286622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
0.8590264320373535,0.0,0.0,0.0,0.01,0.0,0.0,0.008590264320373537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,4.8980712890625,6.866455078125,0.9765625,6.866455078125
