cd0sa,cd1sa,cl1sa,coeff_drag_shift,coeff_lift_gain,coeff_lift_shift,train_score,test_score
0.009496803602878535,4.436852535512748,7.359811634054587,0.4711454470291544,1.989754611425734,0.06050251159743275,1.0,0
0.009469350097718557,4.5987909479075,5.019227352484925,0.49959777256455445,2.1344295185475217,0.12649837749411247,0.01194026359861663,0.0037029528563764583
0.009428977335108757,4.591781650239291,5.0187866076209415,0.5000871121262302,2.1370934304921363,0.1260633161194249,0.011940026683632254,0.0037023630905410007
0.009489522252176268,4.587768912382467,5.0186588195591035,0.5003079146322537,2.139526055265254,0.1255912171205096,0.011939910999658198,0.003702184100244206
0.009530182849378224,4.585187067722291,5.0185857813897385,0.5004486426823148,2.141939889706599,0.12511597399479482,0.01193981064727757,0.0037020634123171763
0.009556736365844275,4.583514471158997,5.018545163240123,0.5005388355448211,2.144341137078299,0.1246395419878095,0.011939714877001845,0.0037019710527257106
0.009574222956025993,4.582424782649412,5.018525243013631,0.5005965561913086,2.146731777140093,0.12416286973953108,0.011939620156948924,0.0037018941962776593
0.009585894901068646,4.581708907996224,5.0185185537704164,0.5006334176923798,2.1491130459819483,0.12368656035131607,0.01193952549032607,0.0037018262931725722
0.009593837666968223,4.581232778292632,5.0185203114416455,0.5006568854336689,2.151485733965901,0.1232110002509273,0.011939430757710716,0.003701763813370527
0.009599388456132969,4.5809104222473405,5.018527449910828,0.5006717546091245,2.1538503465975376,0.12273643706825917,0.011939336095988845,0.003701704766192947
0.00960340474089222,4.580686708391093,5.018538003889611,0.5006811036410969,2.1562072072490217,0.12226302946191092,0.011939241680372938,0.0037016479858511682
