t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2],alpha,joystick[0],joystick[1],joystick[2],joystick[3],takeoff
0.0855715274810791,0.0,0.0,0.0,0.001,0.0,0.0,8.55715274810791e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.21809148788452148,0.0,0.0,0.0,0.001,0.0,0.0,0.0002180914878845215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.26553916931152344,0.0,0.0,0.0,0.001,0.0,0.0,0.0002655391693115234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.31442809104919434,0.0,0.0,0.0,0.001,0.0,0.0,0.00031442809104919434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.3623850345611572,0.0,0.0,0.0,0.001,0.0,0.0,0.0003623850345611572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.41232872009277344,0.0,0.0,0.0,0.001,0.0,0.0,0.00041232872009277344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-4.8980712890625,-2.9449462890625,0.98419189453125,0
0.46160411834716797,0.0,0.0,0.0,0.001,0.0,0.0,0.00046160411834716796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.5115954875946045,0.0,0.0,0.0,0.001,0.0,0.0,0.0005115954875946044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.5624184608459473,0.0,0.0,0.0,0.001,0.0,0.0,0.0005624184608459472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
0.6117241382598877,0.0,0.0,0.0,0.001,0.0,0.0,0.0006117241382598876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,14.70184326171875,-6.85882568359375,-2.9449462890625,0.98419189453125,0
