t,acc[0],acc[1],acc[2],speed[0],speed[1],speed[2],pos[0],pos[1],pos[2],omegadot[0],omegadot[1],omegadot[2],omega[0],omega[1],omega[2],q[0],q[1],q[2],q[3],forces[0],forces[1],forces[2],torque[0],torque[1],torque[2]
0.06655168533325195,0.0,0.0,-9.81,1.0,0.0,-0.6528720331192017,0.06655168533325195,0.0,-0.04344973411102956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.5825963020324707,0.0,0.0,-9.81,1.0,0.0,-5.7152697229385385,0.5825963020324707,0.0,-2.992783907617498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.6345384120941162,0.0,0.0,-9.81,1.0,0.0,-6.224821822643281,0.6345384120941162,0.0,-3.316114287843368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.6865756511688232,0.0,0.0,-9.81,1.0,0.0,-6.735307137966157,0.6865756511688232,0.0,-3.666601075623294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.7385823726654053,0.0,0.0,-9.81,1.0,0.0,-7.245493075847627,0.7385823726654053,0.0,-4.043415416124315,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.7906129360198975,0.0,0.0,-9.81,1.0,0.0,-7.755912902355195,0.7906129360198975,0.0,-4.446959933762231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.842679500579834,0.0,0.0,-9.81,1.0,0.0,-8.266685900688172,0.842679500579834,0.0,-4.8773778689071285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.8946096897125244,0.0,0.0,-9.81,1.0,0.0,-8.776121056079866,0.8946096897125244,0.0,-5.333123495200743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.9466493129730225,0.0,0.0,-9.81,1.0,0.0,-9.286629760265352,0.9466493129730225,0.0,-5.816396209284681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
0.998633623123169,0.0,0.0,-9.81,1.0,0.0,-9.79659584283829,0.998633623123169,0.0,-6.325665485994422,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.0483124256134033,0.0,0.0,-9.81,1.0,0.0,-10.283944895267489,1.0483124256134033,0.0,-6.83655955326687,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.0983030796051025,0.0,0.0,-9.81,1.0,0.0,-10.774353210926058,1.0983030796051025,0.0,-7.375176516618628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.1483051776885986,0.0,0.0,-9.81,1.0,0.0,-11.264873793125155,1.1483051776885986,0.0,-7.938443840920677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.1986548900604248,0.0,0.0,-9.81,1.0,0.0,-11.75880447149277,1.1986548900604248,0.0,-8.53049626389688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.2476437091827393,0.0,0.0,-9.81,1.0,0.0,-12.239384787082674,1.2476437091827393,0.0,-9.130089271399681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.298583745956421,0.0,0.0,-9.81,1.0,0.0,-12.73910654783249,1.298583745956421,0.0,-9.779019827410117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.3486533164978027,0.0,0.0,-9.81,1.0,0.0,-13.230289034843446,1.3486533164978027,0.0,-10.441454717523081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.3986761569976807,0.0,0.0,-9.81,1.0,0.0,-13.72101310014725,1.3986761569976807,0.0,-11.127818767328483,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.448625087738037,0.0,0.0,-9.81,1.0,0.0,-14.211012110710147,1.448625087738037,0.0,-11.83764362699671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.4978606700897217,0.0,0.0,-9.81,1.0,0.0,-14.694013173580172,1.4978606700897217,0.0,-12.561111922681254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.5651297569274902,0.0,0.0,-9.81,1.0,0.0,-15.353922915458682,1.5651297569274902,0.0,-13.593956296581649,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.615185260772705,0.0,0.0,-9.81,1.0,0.0,-15.84496740818024,1.615185260772705,0.0,-14.38708412360912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.6653311252593994,0.0,0.0,-9.81,1.0,0.0,-16.33689833879471,1.6653311252593994,0.0,-15.20631201383922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.715200424194336,0.0,0.0,-9.81,1.0,0.0,-16.826116161346437,1.715200424194336,0.0,-16.045418630603372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.7652215957641602,0.0,0.0,-9.81,1.0,0.0,-17.31682385444641,1.7652215957641602,0.0,-16.91162644767106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.7990620136260986,0.0,0.0,-9.81,1.0,0.0,-17.648798353672028,1.7990620136260986,0.0,-17.508869158720415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.848520278930664,0.0,0.0,-9.81,1.0,0.0,-18.133983936309814,1.848520278930664,0.0,-18.405744547271155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.8980684280395508,0.0,0.0,-9.81,1.0,0.0,-18.620051279067994,1.8980684280395508,0.0,-19.328333624461532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
1.9652869701385498,0.0,0.0,-9.81,1.0,0.0,-19.279465177059173,1.9652869701385498,0.0,-20.62427116611187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
2.0151233673095703,0.0,0.0,-9.81,1.0,0.0,-19.768360233306883,2.0151233673095703,0.0,-21.609455018118762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,0.0
